Month,Year,Borough,ViolenceAgainstPerson_Murder,ViolenceAgainstPerson_WoundingGBH,ViolenceAgainstPerson_AssaultWithInjury,ViolenceAgainstPerson_CommonAssault,ViolenceAgainstPerson_OffensiveWeapon,ViolenceAgainstPerson_Harassment,ViolenceAgainstPerson_OtherViolence,Sexual_Rape,Sexual_OtherSexual,Robbery_PersonalProperty,Robbery_BusinessProperty,Burglary_Dwelling,Burglary_OtherBuildings,Theft_TakingOfMotorVehicle,Theft_FromMotorVehicle,Theft_MotorVehicleTampering,Theft_FromShops,Theft_Person,Theft_TakingOfPedalCycles,Theft_OtherTheft,Theft_HandlingStolenGoods,FraudForgery_CountedPerVictim,FraudForgery_OtherFraudForgery,CriminalDamage_Dwelling,CriminalDamage_OtherBuildings,CriminalDamage_MotorVehicle,CriminalDamage_OtherCriminalDamage,Drugs_DrugTrafficking,Drugs_PossessionOfDrugs,Drugs_OtherDrugs,OtherNotifiableOffences_GoingEquipped,OtherNotifiableOffences_OtherNotifiable,Males00-20,Males00-20,Males21-40,Males41-60,Males61+,Females00-20,Females21-40,Females41-60,Females61+,PoliceOfficer,PoliceSergeant,SpecialPoliceConstable,PoliceCommunitySupportOfficer,PoliceStaff,UnemployedMale18-24,UnemployedMale25-44,UnemployedMale45-64,UnemployedFemale18-24,UnemployedFemale25-44,UnemployedFemale45-64,PublicAttitudeSurvey_FearofCrime%
NOV,2015,Hackney,0,63,141,195,13,222,26,17,32,97,4,149,136,45,143,36,81,167,100,326,0,0,2,32,17,50,29,7,64,1,1,43,35979,35979,60362,28811,12096,35111,60604,29329,14015,595,52,83,36,17,1200,3765,3120,825,2910,2055,35
NOV,2015,Hammersmith&Fulham,0,39,93,134,12,186,14,12,36,28,4,106,51,57,193,28,104,97,52,257,6,0,3,22,12,53,29,6,120,2,1,35,20476,20476,38978,21581,10600,19954,39326,22810,13559,508,40,117,22,11,435,1845,1680,255,1305,1245,28
NOV,2015,Haringey,1,76,154,200,20,199,36,14,37,73,7,176,60,46,198,27,152,147,40,279,3,0,2,48,32,66,49,11,93,0,3,53,36406,36406,55309,33901,15177,34894,51757,34835,18641,606,53,89,26,13,1275,3720,3180,900,2400,2040,36
NOV,2015,Harrow,0,42,60,144,4,112,26,11,20,31,1,196,29,24,128,32,64,30,6,133,1,0,0,15,6,44,33,4,26,0,4,14,34875,34875,39132,32088,22178,32383,37899,33719,26038,360,38,75,27,8,465,1455,1020,360,1140,900,42
NOV,2015,Havering,0,52,105,126,2,178,19,15,17,22,0,131,34,72,100,18,103,45,9,189,1,0,1,30,18,84,31,5,50,0,0,31,33143,33143,31945,33376,25640,31709,34197,35270,32992,409,40,46,36,13,840,1740,1425,630,1410,1095,37
NOV,2015,Hillingdon,2,68,142,172,6,221,20,6,25,29,6,143,52,59,171,43,146,43,31,324,4,0,7,35,20,96,79,5,72,1,1,104,43767,43767,48444,37828,23280,41187,47532,38134,27152,523,44,95,24,13,765,2040,1560,585,1635,1110,30
NOV,2015,Hounslow,0,61,164,181,3,219,52,17,28,31,0,122,57,48,164,34,147,48,32,236,0,0,2,39,20,74,44,6,59,1,3,49,37929,37929,50412,34129,18622,35850,46983,33289,21632,534,46,105,25,16,660,2100,1665,390,1710,1095,45
NOV,2015,Islington,1,86,136,220,13,241,24,18,29,66,3,113,108,68,123,26,118,274,83,290,2,0,9,55,21,43,40,1,101,0,0,34,25041,25041,52584,25864,12067,24736,52344,25172,14275,591,50,96,33,11,1185,2730,2145,765,2025,1440,29
NOV,2015,Kensington&Chelsea,1,39,67,113,5,133,13,11,13,30,4,88,47,41,144,23,134,109,41,416,1,0,0,24,13,31,25,2,74,0,3,20,17407,17407,29184,21254,13275,16039,28803,22142,15896,520,43,95,36,9,360,1245,1155,210,945,855,25
NOV,2015,KingstonUponThames,0,33,67,62,2,93,15,5,17,12,2,71,23,17,46,2,62,54,16,124,1,0,4,18,9,24,21,0,58,0,1,19,22655,22655,28776,22604,13548,22698,29351,22533,16291,312,31,64,22,11,375,825,675,240,765,540,26
NOV,2015,Lambeth,0,102,219,228,26,293,40,23,50,74,14,160,89,60,230,62,118,189,90,470,4,0,5,42,31,100,71,8,179,5,1,39,37643,37643,75929,38502,15448,36672,73441,38046,18446,801,62,113,38,19,1425,4560,4365,915,3165,2970,39
NOV,2015,Lewisham,0,65,165,206,31,259,41,17,48,79,4,149,45,63,106,29,98,46,39,249,5,0,7,46,15,80,45,7,124,2,1,24,40600,40600,55586,38038,16472,38985,56965,39555,20328,625,54,97,42,7,1545,3675,3480,1065,2925,2295,38
NOV,2015,Merton,1,34,79,89,6,116,13,6,26,22,3,105,42,52,79,12,74,24,32,148,1,0,3,25,12,52,28,0,26,0,1,11,27384,27384,36342,26530,14705,25951,36915,27664,18200,356,38,73,26,10,630,1575,1260,435,1215,915,33
NOV,2015,Newham,0,89,171,228,18,264,52,25,61,128,8,130,84,67,210,48,115,132,36,377,9,0,2,58,17,85,44,3,105,0,1,55,50757,50757,75827,36647,14412,49262,61268,35169,17197,770,61,118,37,14,1320,3525,2625,975,2595,1980,47
NOV,2015,Redbridge,0,66,111,173,1,167,16,19,46,42,4,166,39,81,164,26,93,49,14,214,3,0,1,28,12,68,32,2,91,0,1,28,45337,45337,49131,36187,21781,42770,48801,37687,26015,511,42,63,43,17,930,1860,1575,585,1770,1380,35
NOV,2015,RichmondUponThames,0,18,43,54,0,92,13,5,17,19,0,70,45,31,62,26,45,16,35,122,2,0,1,16,11,56,17,0,20,1,3,16,25918,25918,27525,28476,16836,25097,29714,29026,20672,309,30,90,24,12,300,810,930,210,690,645,20
NOV,2015,Southwark,0,81,212,239,11,239,58,22,31,90,9,147,125,76,179,74,135,160,76,414,1,0,1,49,30,76,59,9,124,1,0,28,38278,38278,65838,38568,14792,37353,67101,37669,18066,738,58,82,33,16,1305,3750,3435,930,2925,2385,35
NOV,2015,Sutton,0,33,59,73,5,122,6,6,14,11,1,60,38,22,51,11,56,17,4,111,3,0,1,17,12,41,19,1,42,0,2,12,27712,27712,27681,28407,17534,26205,29814,29202,21487,330,36,66,29,6,375,795,795,255,765,705,28
NOV,2015,Tower Hamlets,1,75,153,203,13,277,47,15,27,97,3,94,122,89,145,35,68,126,98,281,6,0,3,44,26,68,36,2,139,0,2,60,39067,39067,74773,29478,10968,38006,69427,23744,12753,692,51,128,29,19,1080,3030,2715,840,2640,1800,42
NOV,2015,Waltham Forest,0,66,170,168,11,214,33,11,31,63,4,177,59,55,143,31,98,65,26,217,4,0,7,50,17,71,37,2,90,0,3,28,39231,39231,50266,34341,16732,37312,48187,35045,20308,573,48,89,34,11,825,2610,2295,645,2130,1785,38
NOV,2015,Wandsworth,0,48,115,172,7,205,28,14,36,36,8,119,70,84,152,42,115,66,77,330,0,0,5,42,15,60,46,4,51,1,1,34,35478,35478,70191,34810,17042,34915,77919,35751,21646,540,42,65,23,14,720,2415,2115,480,1845,1545,29
NOV,2015,Westminster,1,98,173,286,15,284,46,17,54,120,11,124,138,60,160,32,354,566,91,1287,4,0,6,36,48,51,46,11,164,0,1,61,26087,26087,52430,30744,17240,24192,45826,28745,19693,1247,101,241,70,34,690,1920,1725,405,1605,1395,35
OCT,2015,Barking&Dagenham,1,58,108,135,8,154,34,7,23,48,6,105,34,53,75,11,67,17,17,170,2,0,2,28,9,65,16,5,93,0,1,33,36040,36040,30561,23728,11436,33607,33458,24582,14797,496,39,86,39,15,870,2100,1590,765,2100,1290,46
OCT,2015,Barnet,1,53,144,202,5,236,25,20,22,40,7,266,109,57,172,42,96,57,22,349,4,0,5,31,15,101,43,12,66,0,1,36,54146,54146,61101,47689,30324,50465,61835,50360,37741,523,41,113,50,13,735,2400,2205,435,2040,1605,40
OCT,2015,Bexley,0,31,76,115,5,138,21,5,26,10,0,70,32,48,80,14,74,9,7,129,5,0,3,34,9,69,24,23,39,1,1,84,34427,34427,31256,32867,22801,32930,33951,35015,28610,367,39,65,44,12,735,1320,1035,660,1260,885,37
OCT,2015,Brent,2,61,158,228,15,239,41,14,33,75,7,206,60,67,233,54,135,71,60,271,5,0,1,22,13,85,42,9,153,1,3,25,46034,46034,61121,41083,22316,42872,56140,41240,25995,587,48,83,23,18,960,4275,3810,690,2790,2775,45
OCT,2015,Bromley,0,48,109,140,2,235,27,8,22,29,5,124,71,80,140,31,150,33,10,239,0,0,1,33,19,70,38,1,64,0,2,31,43347,43347,41114,45569,32078,41147,45213,48382,40492,479,37,73,54,4,735,1485,1365,465,1260,1095,28
OCT,2015,Camden,0,89,142,186,16,207,23,9,42,81,7,122,115,78,122,38,117,228,144,523,6,0,0,25,27,52,38,3,129,2,0,40,28875,28875,49103,28317,16335,28156,48710,27283,19809,658,50,146,31,12,720,2025,1815,510,1530,1215,36
OCT,2015,Croydon,0,99,185,233,12,266,42,32,27,46,9,120,52,87,184,42,140,33,13,278,0,0,7,62,17,107,70,6,111,0,2,54,56047,56047,55269,51038,29291,54025,59056,54499,35617,714,55,96,37,16,1575,3465,2985,1110,2685,2085,43
OCT,2015,Ealing,1,84,172,235,15,282,35,18,26,48,4,189,47,74,187,25,132,42,47,288,3,0,6,43,24,104,58,5,101,2,2,36,48986,48986,61386,45191,24707,46203,58591,45137,29023,675,55,100,35,18,1050,4515,2985,690,2910,2100,40
OCT,2015,Enfield,0,54,138,166,14,201,34,18,24,66,8,178,53,49,166,21,86,43,23,231,3,0,1,43,12,72,54,5,122,0,3,29,50625,50625,48416,42047,24560,47181,52336,45411,30227,549,42,108,41,10,990,2880,2430,765,2670,2010,44
OCT,2015,Greenwich,0,67,154,199,15,222,30,18,40,43,6,88,33,63,88,20,135,37,30,221,2,0,4,45,17,87,48,5,68,1,1,41,40090,40090,50126,34040,17086,37780,48288,34098,20604,599,50,104,30,15,1395,3015,2340,1035,2565,1635,30
OCT,2015,Hackney,1,87,151,218,14,248,37,14,52,76,5,103,99,41,142,21,56,177,120,333,5,0,4,45,22,88,42,2,95,2,1,32,35979,35979,60362,28811,12096,35111,60604,29329,14015,595,52,83,36,17,1230,3840,3180,915,2835,2070,35
OCT,2015,Hammersmith&Fulham,0,49,103,148,7,213,23,10,16,28,4,101,40,68,142,29,138,60,85,262,1,0,0,30,7,48,30,2,135,1,4,25,20476,20476,38978,21581,10600,19954,39326,22810,13559,508,40,117,22,11,495,1890,1605,270,1410,1290,28
OCT,2015,Haringey,0,81,179,172,15,219,39,22,37,127,8,127,32,60,152,28,160,116,26,300,4,0,3,39,25,82,46,5,114,0,2,30,36406,36406,55309,33901,15177,34894,51757,34835,18641,606,53,89,26,13,1365,3840,3195,975,2460,2070,36
OCT,2015,Harrow,0,36,65,97,4,135,29,7,12,29,4,156,43,24,106,21,68,26,24,130,1,0,0,17,9,52,23,6,33,0,2,14,34875,34875,39132,32088,22178,32383,37899,33719,26038,360,38,75,27,8,570,1710,1095,510,1215,1050,42
OCT,2015,Havering,0,66,105,142,3,169,25,6,24,17,2,134,78,80,79,20,77,29,8,191,5,0,3,32,9,73,37,4,56,0,0,33,33143,33143,31945,33376,25640,31709,34197,35270,32992,409,40,46,36,13,885,1710,1440,750,1455,1095,37
OCT,2015,Hillingdon,1,68,140,193,8,262,15,15,19,26,3,103,73,54,178,50,150,46,26,335,7,0,7,29,20,93,41,6,98,0,0,129,43767,43767,48444,37828,23280,41187,47532,38134,27152,523,44,95,24,13,945,2025,1515,630,1650,1095,30
OCT,2015,Hounslow,0,61,128,191,8,229,25,13,26,28,3,108,39,45,189,30,170,40,43,229,3,0,2,42,12,81,44,4,77,0,2,38,37929,37929,50412,34129,18622,35850,46983,33289,21632,534,46,105,25,16,735,2130,1620,465,1800,1170,45
OCT,2015,Islington,0,76,142,165,11,247,23,18,35,52,8,105,89,62,111,30,132,243,102,401,5,0,1,45,21,69,43,4,103,0,1,40,25041,25041,52584,25864,12067,24736,52344,25172,14275,591,50,96,33,11,1200,2865,2130,900,2115,1470,29
OCT,2015,Kensington&Chelsea,0,32,72,126,11,165,15,11,20,33,1,78,63,77,133,40,170,107,57,326,2,0,2,21,10,38,21,4,90,2,2,21,17407,17407,29184,21254,13275,16039,28803,22142,15896,520,43,95,36,9,390,1290,1140,225,930,885,25
OCT,2015,KingstonUponThames,0,39,51,70,4,101,8,6,10,14,0,49,27,8,32,7,67,40,24,110,2,0,1,12,19,37,17,5,75,0,1,18,22655,22655,28776,22604,13548,22698,29351,22533,16291,312,31,64,22,11,360,855,750,255,735,540,26
OCT,2015,Lambeth,1,122,201,257,26,295,51,17,58,88,10,139,89,64,182,63,118,157,88,483,4,0,4,53,27,101,60,9,222,5,2,59,37643,37643,75929,38502,15448,36672,73441,38046,18446,801,62,113,38,19,1500,4845,4305,1005,3210,3045,39
OCT,2015,Lewisham,0,67,174,227,12,253,27,11,34,54,3,124,51,84,104,17,108,46,33,256,5,0,4,52,23,77,44,10,112,1,1,33,40600,40600,55586,38038,16472,38985,56965,39555,20328,625,54,97,42,7,1650,3840,3510,1140,3075,2355,38
OCT,2015,Merton,0,35,89,101,8,128,14,13,15,19,5,83,34,30,89,18,69,27,17,139,1,0,2,25,8,51,24,2,40,0,0,25,27384,27384,36342,26530,14705,25951,36915,27664,18200,356,38,73,26,10,630,1620,1230,435,1245,930,33
OCT,2015,Newham,0,99,187,288,14,271,49,31,37,111,6,146,88,84,194,50,115,130,49,339,9,0,1,58,20,70,52,4,120,2,1,41,50757,50757,75827,36647,14412,49262,61268,35169,17197,770,61,118,37,14,1485,3630,2655,1200,2700,1980,47
OCT,2015,Redbridge,1,62,105,155,12,175,22,17,25,62,5,118,52,70,159,17,72,46,14,211,4,0,1,29,12,72,39,3,89,0,0,26,45337,45337,49131,36187,21781,42770,48801,37687,26015,511,42,63,43,17,975,1920,1560,705,1860,1380,35
OCT,2015,RichmondUponThames,0,40,52,86,2,103,10,3,10,8,2,56,44,32,81,25,55,41,48,114,0,0,2,22,5,42,17,0,25,0,2,11,25918,25918,27525,28476,16836,25097,29714,29026,20672,309,30,90,24,12,360,930,945,195,735,630,20
OCT,2015,Southwark,0,89,173,239,21,226,44,17,31,80,6,141,114,71,112,29,141,128,82,384,4,0,5,54,29,86,43,7,206,1,3,40,38278,38278,65838,38568,14792,37353,67101,37669,18066,738,58,82,33,16,1500,3930,3435,1020,3045,2400,35
OCT,2015,Sutton,0,38,64,101,7,118,14,13,14,13,2,65,27,19,86,21,79,9,9,84,0,0,1,24,13,47,17,1,59,0,2,18,27712,27712,27681,28407,17534,26205,29814,29202,21487,330,36,66,29,6,360,810,795,315,780,690,28
OCT,2015,Tower Hamlets,0,110,165,236,16,274,39,11,28,92,2,104,109,96,130,47,81,112,86,323,6,0,4,41,25,75,40,8,140,1,1,57,39067,39067,74773,29478,10968,38006,69427,23744,12753,692,51,128,29,19,1170,3180,2715,960,2715,1755,42
OCT,2015,Waltham Forest,0,56,134,181,15,213,46,19,21,50,4,108,61,44,153,17,87,42,22,229,2,0,3,35,18,62,48,5,99,0,0,29,39231,39231,50266,34341,16732,37312,48187,35045,20308,573,48,89,34,11,990,2880,2265,825,2265,1860,38
OCT,2015,Wandsworth,0,72,140,202,10,212,17,10,40,37,11,123,116,65,126,37,118,53,86,306,3,0,4,36,14,68,36,3,34,2,0,39,35478,35478,70191,34810,17042,34915,77919,35751,21646,540,42,65,23,14,765,2595,2145,555,1920,1530,29
OCT,2015,Westminster,0,108,195,325,23,244,21,15,48,144,9,89,146,83,162,21,359,555,99,1208,4,0,9,30,37,50,45,12,180,2,0,59,26087,26087,52430,30744,17240,24192,45826,28745,19693,1247,101,241,70,34,720,2040,1650,405,1665,1410,35
SEP,2015,Barking&Dagenham,2,64,122,130,8,163,36,12,16,50,1,77,50,42,95,15,68,17,23,158,2,0,1,28,10,69,34,4,94,0,1,32,36040,36040,30561,23728,11436,33607,33458,24582,14797,498,39,88,39,15,975,2280,1560,795,2205,1290,46
SEP,2015,Barnet,0,54,118,137,6,236,23,13,21,47,3,214,78,56,157,24,85,55,38,323,3,0,3,37,20,83,45,3,44,1,1,35,54146,54146,61101,47689,30324,50465,61835,50360,37741,527,41,111,51,12,750,2565,2235,465,1980,1620,40
SEP,2015,Bexley,0,39,74,74,10,117,10,10,16,9,1,41,15,26,91,24,55,14,10,106,3,0,1,21,7,62,24,18,36,0,1,65,34427,34427,31256,32867,22801,32930,33951,35015,28610,367,39,67,44,13,750,1275,1080,705,1320,885,37
SEP,2015,Brent,0,76,149,221,11,211,27,19,21,64,4,159,43,69,166,30,106,42,52,254,3,0,4,41,11,72,52,7,125,3,1,41,46034,46034,61121,41083,22316,42872,56140,41240,25995,588,47,83,24,18,1065,4395,3855,780,2700,2730,45
SEP,2015,Bromley,0,50,112,143,5,255,19,12,35,29,6,119,81,54,110,34,138,15,15,239,4,0,2,47,15,79,60,2,54,0,1,41,43347,43347,41114,45569,32078,41147,45213,48382,40492,483,37,75,54,4,645,1455,1410,510,1305,1080,28
SEP,2015,Camden,0,82,126,191,8,241,13,16,33,71,8,94,124,64,124,25,128,210,96,506,4,0,5,26,25,57,39,7,83,0,0,35,28875,28875,49103,28317,16335,28156,48710,27283,19809,664,49,158,33,10,780,2190,1830,525,1560,1230,36
SEP,2015,Croydon,0,86,187,214,14,235,32,22,33,56,3,128,67,76,214,28,124,36,16,309,4,0,1,42,23,111,58,8,109,1,2,49,56047,56047,55269,51038,29291,54025,59056,54499,35617,715,55,105,37,16,1680,3600,2925,1245,2715,2115,43
SEP,2015,Ealing,0,74,157,237,10,275,30,17,32,48,8,150,59,63,196,37,134,50,42,279,5,0,5,28,18,84,35,7,94,1,0,52,48986,48986,61386,45191,24707,46203,58591,45137,29023,676,55,102,35,18,1245,4665,3015,720,2895,2220,40
SEP,2015,Enfield,2,48,125,130,11,189,26,8,23,66,7,123,70,51,198,28,76,34,16,264,4,0,3,43,15,85,35,12,105,0,1,36,50625,50625,48416,42047,24560,47181,52336,45411,30227,554,42,109,42,10,1065,3015,2475,930,2790,2085,44
SEP,2015,Greenwich,1,64,149,188,8,234,36,6,22,27,5,86,52,54,91,20,96,34,28,217,2,0,2,63,16,66,40,5,68,0,0,52,40090,40090,50126,34040,17086,37780,48288,34098,20604,603,50,106,33,13,1365,3075,2250,1035,2685,1650,30
SEP,2015,Hackney,2,93,156,184,10,214,23,21,36,57,8,94,83,50,134,16,54,141,111,296,7,0,3,40,20,46,33,4,101,0,3,32,35979,35979,60362,28811,12096,35111,60604,29329,14015,599,51,88,36,17,1350,3960,3195,1005,2925,2055,35
SEP,2015,Hammersmith&Fulham,0,57,107,134,10,152,17,6,22,20,3,78,36,67,154,22,100,49,54,239,4,0,1,27,20,33,25,2,120,1,5,31,20476,20476,38978,21581,10600,19954,39326,22810,13559,512,39,119,22,11,495,1935,1620,270,1440,1275,28
SEP,2015,Haringey,0,90,146,151,20,215,23,19,35,106,7,123,56,58,154,27,127,92,31,275,5,0,2,47,16,47,30,12,105,0,4,48,36406,36406,55309,33901,15177,34894,51757,34835,18641,600,52,85,26,13,1335,3945,3135,1035,2565,2115,36
SEP,2015,Harrow,0,45,80,100,5,111,33,3,9,28,3,94,51,18,98,17,78,16,16,141,0,0,1,15,9,46,25,6,31,0,0,17,34875,34875,39132,32088,22178,32383,37899,33719,26038,362,36,78,27,9,675,1785,1110,480,1215,975,42
SEP,2015,Havering,0,43,74,103,12,142,21,13,22,26,1,63,76,74,90,20,92,25,23,164,1,0,1,26,7,63,39,4,67,0,2,21,33143,33143,31945,33376,25640,31709,34197,35270,32992,409,39,45,36,13,945,1740,1410,735,1440,1065,37
SEP,2015,Hillingdon,0,54,134,169,4,228,34,17,34,28,0,115,64,58,148,19,158,38,30,325,2,0,3,44,16,72,39,6,102,1,0,97,43767,43767,48444,37828,23280,41187,47532,38134,27152,521,43,100,25,13,930,2010,1545,675,1605,1050,30
SEP,2015,Hounslow,0,62,132,152,5,219,23,16,28,43,2,106,39,42,186,25,106,39,44,229,1,0,1,42,19,71,40,8,62,0,3,36,37929,37929,50412,34129,18622,35850,46983,33289,21632,537,47,108,25,16,780,2175,1650,540,1815,1110,45
SEP,2015,Islington,0,71,114,171,15,258,25,16,30,55,4,111,69,66,106,17,70,220,91,318,6,0,2,42,17,54,35,6,126,0,2,49,25041,25041,52584,25864,12067,24736,52344,25172,14275,591,50,95,33,11,1320,3000,2205,900,2175,1440,29
SEP,2015,Kensington&Chelsea,0,44,83,99,22,132,23,9,17,43,3,61,66,57,123,28,122,224,44,345,2,0,1,25,14,28,26,2,128,4,1,27,17407,17407,29184,21254,13275,16039,28803,22142,15896,514,41,100,38,8,375,1260,1155,270,975,900,25
SEP,2015,KingstonUponThames,0,32,57,66,4,100,8,2,13,8,0,32,35,20,27,3,58,29,23,103,1,0,3,15,14,34,26,4,55,0,0,18,22655,22655,28776,22604,13548,22698,29351,22533,16291,312,32,65,22,10,405,915,735,330,720,555,26
SEP,2015,Lambeth,0,107,175,212,17,273,44,30,36,111,6,129,91,65,152,34,96,159,106,435,9,0,4,44,18,98,46,9,212,3,4,61,37643,37643,75929,38502,15448,36672,73441,38046,18446,808,60,115,38,19,1605,4845,4350,1050,3315,3000,39
SEP,2015,Lewisham,1,61,146,231,13,255,26,16,23,53,8,129,53,59,124,23,104,40,31,220,7,0,3,47,20,100,37,12,108,0,1,25,40600,40600,55586,38038,16472,38985,56965,39555,20328,628,53,98,42,7,1635,3915,3525,1275,3120,2310,38
SEP,2015,Merton,0,18,88,99,7,101,12,9,15,20,0,66,28,32,45,9,74,24,14,137,0,0,0,23,5,46,23,2,28,0,2,19,27384,27384,36342,26530,14705,25951,36915,27664,18200,360,38,74,27,10,600,1635,1230,405,1290,915,33
SEP,2015,Newham,0,98,202,238,12,234,39,26,23,94,5,164,70,86,200,31,109,96,57,315,4,0,4,38,11,91,67,8,97,0,0,40,50757,50757,75827,36647,14412,49262,61268,35169,17197,778,61,120,38,15,1590,3780,2745,1260,2790,1980,47
SEP,2015,Redbridge,2,55,104,128,9,172,18,9,37,67,4,124,44,66,129,21,79,37,11,166,3,0,1,22,17,61,27,2,114,0,2,41,45337,45337,49131,36187,21781,42770,48801,37687,26015,518,41,66,43,17,1155,2025,1590,705,1830,1365,35
SEP,2015,RichmondUponThames,0,23,61,70,3,100,10,6,13,6,1,57,49,49,57,17,55,21,58,108,0,0,6,18,8,33,18,2,32,0,0,26,25918,25918,27525,28476,16836,25097,29714,29026,20672,310,31,83,24,12,360,915,900,150,675,615,20
SEP,2015,Southwark,1,71,150,204,14,225,23,19,39,99,8,102,124,59,122,18,113,131,94,394,3,0,4,38,20,61,43,9,202,3,1,22,38278,38278,65838,38568,14792,37353,67101,37669,18066,735,58,88,33,16,1545,4200,3495,1095,3135,2445,35
SEP,2015,Sutton,0,29,79,100,7,91,16,5,9,19,3,49,39,18,45,12,62,21,10,81,1,0,3,21,5,54,15,3,25,0,0,11,27712,27712,27681,28407,17534,26205,29814,29202,21487,332,36,67,30,6,390,855,825,300,780,660,28
SEP,2015,Tower Hamlets,2,73,162,228,14,226,30,20,18,63,7,85,125,87,144,27,91,84,99,355,6,0,2,27,22,58,44,5,166,1,3,42,39067,39067,74773,29478,10968,38006,69427,23744,12753,682,51,127,30,19,1260,3270,2760,1080,2610,1680,42
SEP,2015,Waltham Forest,1,63,96,139,15,184,36,14,23,38,5,105,52,51,141,37,75,37,26,226,1,0,1,28,12,68,33,6,98,1,0,37,39231,39231,50266,34341,16732,37312,48187,35045,20308,579,48,85,36,11,1110,2925,2220,855,2340,1800,38
SEP,2015,Wandsworth,0,58,132,205,16,193,23,10,37,40,3,118,95,95,126,25,111,47,57,302,0,0,0,28,9,71,34,1,44,0,3,42,35478,35478,70191,34810,17042,34915,77919,35751,21646,544,43,66,24,15,780,2640,2190,630,1995,1545,29
